id,Abstract,out_of_scope
3387,"Promoting cooperation in public goods games is a long-standing problem in multiple branches of science. Reward is an effective means of promoting cooperation, but can be costly if distributed on a large scale or over long periods of time. Avoiding excessive costs is naturally of critical concern. We introduce group rewarding into public goods games and explore the impacts of such rewarding on cooperation. Cooperators are rewarded in small groups based on the number of members of cooperative groups and those members' contributions. We consider a control parameter whose adjustments lead to more cooperation while cutting costs. Simulations performed on square lattice show that group rewarding can cost-effectively lead to higher contributions to the public good. Depending on returns from the public good, which are determined by the value of the synergy factor, rewards can be kept manageable while still promoting cooperation. By running simulations on large lattices, we reveal that our approach is cost-effective even in cases of large populations.",0
909,"We investigated large language models' (LLMs) efficacy in classifying complex psychological constructs like intellectual humility, perspective-taking, open-mindedness, and search for a compromise in narratives of 347 Canadian and American adults reflecting on a workplace conflict. Using state-of-the-art models like GPT-4 across few-shot and zero-shot paradigms and RoB-ELoC (RoBERTa -fine-tuned-on-Emotion-with-Logistic-Regression-Classifier), we compared their performance with expert human coders. Results showed robust classification by LLMs, with over 80% agreement and F1 scores above 0.85, and high human-model reliability (Cohen’s κ Md across top models =.80). RoB-ELoC and few-shot GPT-4 were standout classifiers, although somewhat less effective in categorizing intellectual humility. We offer example workflows for easy integration into research. Our proof-of-concept findings indicate the viability of both open-source and commercial LLMs in automating the coding of complex constructs, potentially transforming social science research.",1
7994,"Kohn (The Cato Journal, 24(3):303-339, 2004) has argued that the neoclassical conception of economics-what he terms the ""value paradigm""-has experienced diminishing marginal returns for some time. He suggests a new perspective is emerging-one that gives more import to economic processes and less to end states, one that bases behavior less on axioms and more on laboratory experiments. He calls this the ""exchange paradigm"". He further asserts that it is the mathematization of economics that is partially at fault for leading the profession down a methodological path that has become something of a dead end. Here I suggest that the nascent research program Kohn has rightly spotted is better understood as distinct from its precursors because it is intrinsically dynamic, permits agent actions out of equilibrium, and treats such actions as occurring within networks. Analyzing economic processes having these characteristics is mathematically very difficult and I concur with Kohn's appeal to computational approaches. However, I claim it is so-called multi-agent systems and agent-based models that are the way forward within the ""exchange paradigm,"" and not the cellular automata (Wolfram, A new kind of science, 2002) that Kohn seems to promote. Agent systems are generalizations of cellular automata and support the natural abstraction of individual economic agents as software agents.",0
3326,"Environmental regulation is an important part of many policy mixes for sustainability transitions. However, due to factors including lobbying actions, uncertainty about technological possibilities and costs, there often exists an implementation gap between the regulation and its enforcement. The paper presents an agent-based model to investigate the effect of such implementation gaps on the transition to sustainability for the REACH regulation on dangerous chemical substances. By affecting both the way that heterogeneous actors perceive the regulatory threat and their innovation strategy, implementation gaps may jeopardize the transition to safer substitutes. We show that the combination of the most severe regulation with the strictest enforcement and the shortest timing does not necessarily lead to the highest frequency of bans on dangerous substances, because it may place too much pressure on pioneering firms developing safer substitutes. Opting for a severe regulation should be combined with concessions on enforcement in order to preserve competition and to give pioneering competitors enough time to expand. From a reverse angle, if authorities are keen to apply the regulation strictly, and are prepared to face higher market concentration, then they should relax the degree of stringency in order to enhance the prospects of transition to safer substitutes.",0
7451,"Greenhouse gas (GHG) reduction agreement makes up the targeted reduction of a legally binding GHG for each country or region. It enables us to buy and sell some GHG with other countries; it is the GHG trading system. But now, some free riders, they do not accept the target, spring up all over the world, the USA and some developing countries. The reduction of the free riders is most important thing for success of GHG treading system in current situation. The aims of this study are: 1 to derive an emergence mechanism of the free riders 2 to consider the reductive mechanism of the free riders. In order to examine a relationship between some governments, some companies, and some consumers under the social dilemma of world warming, this paper applies the agent-based approach using interaction among them as conversations. The experimental results have shown that the reason of the free riders emergence is the indeterminacy of the effect of their reducing GHG and free riders are able to be controlled by the consumer's behaviour. ",0
8694,"Since advanced traveler information systems (ATIS) have been introduced, their potential benefits as well as their drawbacks have been discussed controversially. This will continue as long as the reactions upon current or even predictive information about the traffic situation are not known. Thus, traffic models that also consider this feedback are necessary. In this paper, we address a basic two-route scenario with different types of information and study the impact of it using simulations. The road users are modeled as agents, a natural and promising approach to describe them. Different ways of generating current information are tested. It is pointed out that the nature of the information very much influences the potential benefits of the ATIS.",0
4815,"Spatial patterns and self-organization of plants has been a subject of fascination because the underlying mechanisms have been hard to determine, raising different explanatory hypotheses. Plant–soil negative feedback (PSNF) – defined as the induction of negative conditions for conspecific establishment – has been widely studied in both field and laboratory conditions, and conceptually demonstrated by some modelling works. We present a mechanistic model, integrating individual plants inside an agent-based framework, to explore the effects of PSNF on the spatial and temporal dynamics of virtual populations and communities of plants of diverse growth forms. This endeavour led to the reproduction of well-known vegetation patterns observed at various scales, demonstrating for the first time a unified mechanism behind the spatial patterns of Janzen–Connell seedlings’ distribution, ring formation, and the high species mobility in species-rich grasslands. These results support the ecological relevance of PSNF in the regulation of spatial organization and biodiversity dynamics in plant communities. More specifically, PSNF due to autoxicity seems most coherent with the spatio-temporal scale of dynamics displayed here.",1
5599,"This article develops a heterogeneous agents-based model to examine the emergent dynamic properties of share market price formation over time, with a view on financial market stability under alternative accounting regimes. In the model, individual heterogeneous investors interact with each other and with institutional devices which are an accounting system (related to the business firm) and a price system (related to the Share Exchange). These interactions provide mechanisms for transmission through which firm-specific (accounting signal) and market-driven (aggregate price) factors can act. A baseline simulation analysis assesses the financial market stability under three alternative accounting designs, namely two kinds of historical cost accounting regime and one kind of fair-value (mark-to-market) accounting regime. The former prove to better stabilize the financial system in terms of market volatility and exuberance in perfectly balanced conditions between speculative and fundamentalist beliefs and intentions. An evolutionary analysis is then developed by varying the relative degree of speculative attitudes between the two sides of the market. Historical cost accounting regimes further prove to make the financial system more resilient to speculative waves occurring at inter-individual level. Baseline findings are further corroborated through experimental analysis in twelve artificial financial systems. This mathematical institutional economic analysis has general implications for both designing accounting systems aimed at enhancing financial market stability and preventing procyclicality, and the study of accounting information process in the formation of share market prices over time.",0
1643,"The United States generates 42 Mt of plastic waste each year and is one of the biggest contributors to ocean plastic waste. Consequently, plastic has become synonymous with the linear economy, and many scholars are studying and proposing circular economy solutions to mitigate plastic pollution. Recycling has received much attention from both social sciences and engineering as a circular economy strategy, but no study has yet quantified how behavioral interventions could asymmetrically affect different populations. This study combines agent-based modeling, material flow analysis, system dynamics, and life cycle assessment to assess the effect of four behavioral interventions on the collection rates of polyethylene terephthalate bottle waste, displaced virgin plastic manufacturing, and avoided greenhouse gas (GHG) emissions. Results show that, while behavioral interventions would require about 300–900 GJ of additional energy at end-of-life due to improved collection rates, they would avoid about 500–700 thousand metric tons of GHG emissions. Results also illustrate the importance of habits in disposal behaviors and show that different forms of interventions can be better adapted to particular social contexts than others. While the circular economy and its application to plastic waste should certainly not be restricted to recycling, this study demonstrates that improved collection rates and recycling technologies can contribute to reducing the amount of plastic waste polluting our oceans.",0
6281,"According to most simple agency models only the performance dependent part of the compensation drives the agent's effort decision. However, we show that this is not necessarily the case for reference dependent and loss averse agents. Based on Pokorny (2008) we firstly analyze the impact of the fixed wage on work performance within a linear incentive contract when agents are loss averse. Secondly, we test the resulting hypotheses in an economic real effort experiment. Varying the fixed wage but keeping the piece rate constant over treatments, we find a non-monotonic slope of effort in the fixed payment with significantly higher effort levels for a very low fixed wage. Very high fixed payments also yield higher subject performance but to a minor and less robust extent.",0
